,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
936,936,What was the record for the game with the highest attendance?,"Decompose to subquestions-  
sq1. What is the highest attendance recorded in the AFL Grand Final?  
sq2. Which teams played in the game with the highest attendance?  
sq3. What year did the game with the highest attendance occur?  

answers:  
Answer to sq1: 121,696.  
Answer to sq2: Collingwood vs Carlton.  
Answer to sq3: 1970.  

final_answer: 121,696, Collingwood vs Carlton, 1970.","The 1970 Grand Final, Collingwood vs Carlton, was watched by a record crowd of 121,696 people.","121,696, Collingwood vs Carlton, 1970 
","the 1970 grand final, collingwood vs carlton, was watched by a record crowd of 121,696 people","121,696, collingwood vs carlton, 1970",52.63157894736842,0.0
937,937,How many goals and appearances did Peter Bore make for Grimsby in 2009-10?,"Decompose to subquestions-  
sq1. What were the appearances Peter Bore made for Grimsby Town in 2009-10? (independent)  
sq2. How many goals did Peter Bore score for Grimsby Town in 2009-10? (independent)  
sq3. What is the total number of goals and appearances made by Peter Bore for Grimsby in 2009-10? (depends on sq1 and sq2)  

answers:  
Answer to sq1: Appearances: 40  
Answer to sq2: Goals: 0  
Answer to sq3: Total: 40 appearances, 0 goals  

final_answer: 40 appearances, 0 goals.","In 2009–10, Peter Bore made 15 goals and 153 league appearances for Grimsby.","40 appearances, 0 goals 
","in 2009-10, peter bore made 15 goals and 153 league appearances for grimsby","40 appearances, 0 goals",23.52941176470588,0.0
938,938,How many appearance(s) did Jimmy Hill make and how many goals did he score for Burnley from 1889-1897?,"Decompose to subquestions-  
- sq1. How many league appearances did Jimmy Hill make for Burnley from 1889-1897? (independent)  
- sq2. How many FA Cup appearances did Jimmy Hill make for Burnley from 1889-1897? (independent)  
- sq3. How many league goals did Jimmy Hill score for Burnley from 1889-1897? (depends on sq1)  
- sq4. How many FA Cup goals did Jimmy Hill score for Burnley from 1889-1897? (depends on sq2)  
- sq5. Combine the total appearances and total goals for Burnley from 1889-1897 to provide a final answer. (depends on sq1, sq2, sq3, sq4)  

Answers:  
- Answer to sq1: 151 league appearances  
- Answer to sq2: 12 FA Cup appearances  
- Answer to sq3: 36 league goals  
- Answer to sq4: 6 FA Cup goals  
- Answer to sq5: Total appearances = 151 + 12 = 163; Total goals = 36 + 6 = 42  

Final answer: 163 appearances and 42 goals for Burnley from 1889-1897.",Jimmy Hill made 163 appearances and scored 42 goals in total for Burnley in eight seasons.,"163 appearances, 42 goals 
",jiy hill made 163 appearances and scored 42 goals in total for burnley in 8 seasons,"163 appearances, 42 goals",40.0,0.0
939,939,What league and club did Morsy play for in 2014-15?,"Decompose to subquestions-  
sq1. What club did Sam Morsy play for in the 2014-15 season? (independent)  
sq2. What league was that club in during the 2014-15 season? (depends on sq1)  

answers:  
Answer to sq1: Sam Morsy played for Chesterfield in the 2014-15 season.  
Answer to sq2: Chesterfield was in League One during the 2014-15 season.  

final_answer: Chesterfield, League One.","In 2014–15, Sam Morsy played for Chesterfield in the League One.","Chesterfield, League One 
","in 2014-15, sam morsy played for chesterfield in the league 1","chesterfield, league 1",46.15384615384615,0.0
940,940,Who did Juninho play for in the FA Cup and League Cup in 1997?,"Decompose to subquestions-  
sq1. Which club did Juninho play for in the FA Cup and League Cup in 1997? (independent)  
sq2. What were the performance statistics (apps and goals) for Juninho in the FA Cup and League Cup in 1997? (depends on sq1)  

answers:  
Answer to sq1: Juninho played for Middlesbrough in the FA Cup and League Cup in 1997.  
Answer to sq2: In the FA Cup, he had 6 apps and 2 goals; in the League Cup, he had 6 apps and 1 goal.  

final_answer: Middlesbrough, FA Cup: 6 apps, 2 goals; League Cup: 6 apps, 1 goal.",Juninho played for Middlesbrough in the FA Cup and League Cup in 1997.,"Middlesbrough 
",juninho played for middlesbrough in the fa cup and league cup in 1997,middlesbrough,15.384615384615385,0.0
941,941,What was Fabrizio Donato's success at the 2012 Olympics?,"Decompose to subquestions-  
sq1. What was Fabrizio Donato's position in the 2012 Olympics? (independent)  
sq2. What was the result of Fabrizio Donato at the 2012 Olympics? (depends on sq1)  

answers:  
Answer to sq1: 3rd  
Answer to sq2: He won a medal (Bronze).  

final_answer: 3rd place (Bronze medal).","At the 2012 Olympics, Fabrizio Donato jumped 17.48 metres to win the bronze medal.","3rd place (Bronze medal) 
","at the 2012 olympics, fabrizio donato jumped 17.48 metres to win the bronze medal",3 place (bronze medal),25.0,0.0
942,942,To what values did the Conservative People's Party increase its overall vote and seats won in the 2019 elections?,"Decompose to subquestions-  
sq1. What was the number of overall votes in the 2019 elections for the Conservative People's Party? (independent)  
sq2. What was the number of overall seats won in the 2019 elections for the Conservative People's Party? (independent)  
sq3. How many overall votes did the Conservative People's Party increase from the 2015 elections to the 2019 elections? (depends on sq1)  
sq4. How many overall seats did the Conservative People's Party increase from the 2015 elections to the 2019 elections? (depends on sq2)  

Answers-  
Answer to sq1: 99,672  
Answer to sq2: 19  
Answer to sq3: Increase in overall votes = 99,672 (2019) - 46,772 (2015) = 52,900  
Answer to sq4: Increase in overall seats = 19 (2019) - 7 (2015) = 12  

Final Answer: Increased overall votes by 52,900 and seats won by 12.","In the 2019 Estonian parliamentary election, the Conservative People's Party gained 17.8% of the votes and increased its number of seats to 19.","52,900 votes, 12 seats 
","in the 2019 estonian parliamentary election, the conservative people's party gained 17.8% of the votes and increased its number of seats to 19","52,900 votes, 12 seats",16.666666666666668,0.0
943,943,How many Daytime Emmy Awards did Jennifer Landon win for As the World Turns?,"Decompose to subquestions-  
sq1. How many Daytime Emmy Awards did Jennifer Landon win? (independent)  
sq2. For which show did she win these awards? (depends on sq1)  

answers:  
Answer to sq1: Jennifer Landon won 3 Daytime Emmy Awards.  
Answer to sq2: She won these awards for As the World Turns.  

final_answer: 3 Daytime Emmy Awards for As the World Turns.","Jennifer Landon won three consecutive Daytime Emmy Awards for Outstanding Younger Actress in a Drama Series for ""As the World Turns"".","3 
",jennifer landon won 3 consecutive daytime ey awards for outstanding younger actress in a drama series for as the world turns,3,10.0,0.0
944,944,"What series did McNally race in 2006 and 2007, and how did he perform?","Decompose to subquestions-  
sq1. What series did Mark McNally race in 2006? (independent)  
sq2. What position did he finish in the 2006 race? (depends on sq1)  
sq3. What series did Mark McNally race in 2007? (independent)  
sq4. What position did he finish in the 2007 race? (depends on sq3)  

answers:  
Answer to sq1: Mark McNally raced in the Fujitsu V8 Supercar Series in 2006.  
Answer to sq2: He finished in 23rd position in 2006.  
Answer to sq3: Mark McNally raced in the Fujitsu V8 Supercar Series in 2007.  
Answer to sq4: He finished in 22nd position in 2007.  

final_answer: Fujitsu V8 Supercar Series, 23rd in 2006 and 22nd in 2007.",In 2006 McNally made his debut in the Fujitsu V8 Supercar Series finishing the season 23rd in points and 2007 one spot higher in 22nd.,"Fujitsu V8 Supercar Series, 23rd in 2006, 22nd in 2007 
",in 2006 mcnally made his debut in the fujitsu v8 supercar series finishing the season 23 in points and 2007 1 spot higher in 22,"fujitsu v8 supercar series, 23 in 2006, 22 in 2007",60.60606060606061,0.0
945,945,Did Mond reprise any roles in 2011?,"Decompose to subquestions-  
sq1. What roles did Julie Mond play in 2011? (independent)  
sq2. Did any of these roles indicate a reprisal of a previous role? (depends on sq1)  

answers:  
Answer to sq1: In 2011, Julie Mond played the following roles:  
- Sadie in Fugue  
- Rachel Axelrod in Negative Space  
- Ellen in Love Begins (TV Movie)  
- Ellen in Love's Everlasting Courage (TV Movie)  
- Wife in Priest  

Answer to sq2: The role of Ellen in both ""Love Begins"" and ""Love's Everlasting Courage"" suggests a reprisal, as she played the same character.  

final_answer: Yes, Julie Mond reprised the role of Ellen in 2011.",Mond played a role as Ellen in the 2011 movies Love Begins and Love's Everlasting Courage.,"Yes 
",mond played a role as ellen in the 2011 movies love begins and love's everlasting courage,yes,0.0,0.0
946,946,"What are Victor Wong's most recognized roles in the 1986 film Big Trouble in Little China, and in the 1987 film The Last Emperor?","Decompose to subquestions- 
- sq1. What role did Victor Wong have in the 1986 film Big Trouble in Little China? (independent)
- sq2. What role did Victor Wong have in the 1987 film The Last Emperor? (independent)
  
answers: 
- Answer to sq1: Egg Shen
- Answer to sq2: Chen Pao Shen

final_answer: Egg Shen in Big Trouble in Little China and Chen Pao Shen in The Last Emperor.","Victor Wong is known for his role as Egg Shen in 1986 film, Big Trouble in Little China, and Chen Bao Shen in The Last Emperor.","Egg Shen, Chen Pao Shen 
","victor wong is known for his role as egg shen in 1986 film, big trouble in little china, and chen bao shen in the last emperor","egg shen, chen pao shen",26.666666666666668,0.0
947,947,In what films did Rollo Weeks appear in 2009?,"Decompose to subquestions-  
sq1. What films did Rollo Weeks appear in during 2009? (independent)  
sq2. Extract the titles of the films from the relevant data. (depends on sq1)  

answers:  
Answer to sq1: The relevant films are:
- Blood in the Water: 2
- Chéri  
Answer to sq2: The titles are Blood in the Water: 2 and Chéri.  

final_answer: Blood in the Water: 2, Chéri.  ","In 2009, Rollo Weeks appeared in the second part of the Blood in the Water and played the character Guido in Chéri.","Blood in the Water: 2, Chéri 
","in 2009, rollo weeks appeared in the second part of the blood in the water and played the character guido in chéri","blood in the water: 2, chéri",34.78260869565218,0.0
948,948,What awards were the Adults nominated for in 2012?,"Decompose to subquestions- 
sq1. What awards did The Adults receive nominations for in 2012? 

answers: 
Answer to sq1: The Adults were nominated for the APRA Silver Scroll and New Zealand Music Awards in 2012.

final_answer: APRA Silver Scroll, New Zealand Music Awards.","The Adults has been nominated for Album of the Year at the 2012 New Zealand Music Awards, and the ""Anniversary Day"" was nominated to be on the long list for the 2012 APRA Silver Scroll award.","APRA Silver Scroll, New Zealand Music Awards 
","the adults has been nominated for album of the year at the 2012 new zealand music awards, and the anniversary day was nominated to be on the long list for the 2012 apra silver scroll award","apra silver scroll, new zealand music awards",37.83783783783783,0.0
949,949,"What did ""Havana"" win at the 2018 MTV Video Music Awards?","Decompose to subquestions-  
sq1. What awards were won by ""Havana"" at the 2018 MTV Video Music Awards? (independent)  
sq2. Extract the specific award related to ""Havana"" from the relevant rows. (depends on sq1)  

answers:  
Answer to sq1: ""Havana"" won Video of the Year at the 2018 MTV Video Music Awards.  
Answer to sq2: Video of the Year  

final_answer: Video of the Year.","Havana received four nominations at the 2018 MTV Video Music Awards, for Video of the Year, Song of the Year, Best Pop Video, and Best Choreography, winning the Video of the Year.","Video of the Year 
","havana received 4 nominations at the 2018 mtv video music awards, for video of the year, song of the year, best pop video, and best choreography, winning the video of the year",video of the year,20.0,0.0
950,950,What ships were sunk on 19th of August 1942 by the U-214?,"Decompose to subquestions-  
sq1. What ships were listed in the table for the date 19th of August 1942? (independent)  
sq2. What is the fate of the ships listed for that date? (depends on sq1)  

answers:  
Answer to sq1: There are no ships listed for 19th of August 1942 in the table.  
Answer to sq2: Since there are no ships for that date, there are no fates to report.  

final_answer: None.","On the 18th of August 1942, German submarine U-214 sunk the 6,318 ton of Balingkar ship and 7,522 ton of Hatarana ship.","None 
","on the 18 of august 1942, german submarine u-214 sunk the 6,318 ton of balingkar ship and 7,522 ton of hatarana ship",n1,0.0,0.0
951,951,How did Warren score over Ireland in the 1929 British Home Championship?,"Decompose to subquestions-  
sq1. What was the result of the match on 2 February 1929 against Ireland? (independent)  
sq2. How many goals did Fred Warren score in that match? (depends on sq1)  

answers:  
Answer to sq1: The result of the match on 2 February 1929 against Ireland was 2–1.  
Answer to sq2: Fred Warren scored 1 goal in that match.  

final_answer: Fred Warren scored 1 goal in the 1929 British Home Championship against Ireland.","Warren made his debut for Wales on, February 2, 1929, scoring in a 2–1 win over Ireland in the 1929 British Home Championship.","1 goal 
","warren made his debut for wales on, february 2, 1929, scoring in a 2-1 win over ireland in the 1929 british home championship",1,0.0,0.0
952,952,What awards under Outstanding Lead Actress in a Drama Series were West nominated and which ones did he win?,"Decompose to subquestions-  
sq1. What awards did Maura West receive nominations for under Outstanding Lead Actress in a Drama Series? (independent)  
sq2. What awards did Maura West win under Outstanding Lead Actress in a Drama Series? (independent)  

answers:  
Answer to sq1:  
- 2007 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | As the World Turns | Nominated  
- 2008 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | As the World Turns | Nominated  
- 2009 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | As the World Turns | Nominated  
- 2010 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | As the World Turns | Nominated  
- 2016 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | General Hospital | Nominated  
- 2018 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | General Hospital | Nominated  
- 2019 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | General Hospital | Pending  

Answer to sq2:  
- 2007 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | As the World Turns | Won  
- 2010 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | As the World Turns | Won  
- 2015 | Daytime Emmy Award | Outstanding Lead Actress in a Drama Series | General Hospital | Won  

final_answer:  
Nominations: 2007, 2008, 2009, 2010, 2016, 2018; Wins: 2007, 2010, 2015.","West received three nominations for the Daytime Emmy Award for Outstanding Lead Actress in a Drama Series in 2004, 2008 and 2009; only winning twice, once in 2007 and in 2010.","2007, 2008, 2009, 2010, 2016, 2018; 2007, 2010, 2015 
","west received 3 nominations for the daytime ey award for outstanding lead actress in a drama series in 2004, 2008 and 2009; only winning twice, once in 2007 and in 2010","2007, 2008, 2009, 2010, 2016, 2018; 2007, 2010, 2015",21.052631578947366,0.0
953,953,"In 1992, which Colin Raye single was charted on the U.S. adult contemporary chart, and which position did it reach?","Decompose to subquestions-  
sq1. What singles did Colin Raye release in 1992? (independent)  
sq2. Which of these singles charted on the U.S. adult contemporary chart? (depends on sq1)  
sq3. What position did that single reach on the U.S. adult contemporary chart? (depends on sq2)  

answers: |  
Answer to sq1: The singles released by Colin Raye in 1992 are:  
- ""Every Second""  
- ""In This Life""  
- ""I Want You Bad (And That Ain't Good)""  

Answer to sq2: The single that charted on the U.S. adult contemporary chart is ""In This Life"".  
Answer to sq3: ""In This Life"" reached position 21 on the U.S. adult contemporary chart.  

final_answer: ""In This Life"", position 21.  ","Collin Raye's single ""In This Life"" was charted on the U.S. adult contemporary reaching #21 in 1992.","""In This Life"", position 21 
",collin raye's single in this life was charted on the u.s. adult contemporary reaching 21 in 1992,"in this life, position 21",38.095238095238095,0.0
954,954,When were the Elax and Welsh Prince attacked by UB-43?,"Decompose to subquestions-  
sq1. What date was Elax attacked by UB-43? (independent)  
sq2. What date was Welsh Prince attacked by UB-43? (independent)  

answers:  
Answer to sq1: Elax was attacked on 10 October 1916.  
Answer to sq2: Welsh Prince was attacked on 13 October 1916.  

final_answer: Elax - 10 October 1916, Welsh Prince - 13 October 1916.","Three days after sinking Elax, UB-43 sank another British ship, the Welsh Prince.","10 October 1916, 13 October 1916 
","3  after sinking elax, ub-43 sank another british ship, the welsh prince","10 october 1916, 13 october 1916",0.0,0.0
955,955,"By whom, where and when did To Be get released first, and when and by whom was it released worldwide?","Decompose to subquestions-  
sq1. Who released ""To Be"" first? (independent)  
sq2. Where was ""To Be"" released first? (depends on sq1)  
sq3. When was ""To Be"" released first? (independent)  
sq4. When was ""To Be"" released worldwide? (independent)  
sq5. Who released ""To Be"" worldwide? (depends on sq4)  

Answers:  
Answer to sq1: Avex Trax  
Answer to sq2: Japan and Taiwan  
Answer to sq3: May 12, 1999  
Answer to sq4: September 2008  
Answer to sq5: Avex Entertainment Inc.  

Final answer: Avex Trax, Japan and Taiwan, May 12, 1999; Avex Entertainment Inc., September 2008.","To Be (song) was released by Avex Trax in Japan and Taiwan on May 12, 1999, and through Avex Entertainment Inc. worldwide in September 2008.","Avex Trax, Japan and Taiwan, May 12, 1999; Avex Entertainment Inc., September 2008 
","to be (song) was released by avex trax in japan and taiwan on may 12, 1999, and through avex entertainment inc. worldwide in september 2008","avex trax, japan and taiwan, may 12, 1999; avex entertainment inc., september 2008",68.42105263157895,0.0
956,956,Were any NR times set in the Women's 800 metre freestyle final?,"Decompose to subquestions-  
sq1. Which swimmers had NR (National Record) times in the Women's 800 metre freestyle final? (independent)  
sq2. What are the times associated with the swimmers who set NR records? (depends on sq1)  

answers:  
Answer to sq1: Yana Klochkova and Flavia Rigamonti.  
Answer to sq2: Yana Klochkova - 8:22.66, Flavia Rigamonti - 8:25.91.  

final_answer: Yes, Yana Klochkova (8:22.66) and Flavia Rigamonti (8:25.91) set NR times.",Yana Klochkova of Ukraine and Flavia Rigamonti of Switzerland both set NR times of 8:22.66 and 8:25.91 respectively.,"Yes 
",yana klochkova of ukraine and flavia rigamonti of switzerland both set nr times of 8:22.66 and 8:25.91 respectively,yes,0.0,0.0
957,957,What community and population does Attavyros include?,"Decompose to subquestions-  
sq1. What communities are listed in the table for Attavyros? (independent)  
sq2. What are the populations corresponding to each community listed in the table? (depends on sq1)  

answers:
Answer to sq1: The communities listed are Agios Isidoros, Emponas, Kritinia, Monolithos, and Siana.  
Answer to sq2: The populations are 355 for Agios Isidoros, 1,242 for Emponas, 503 for Kritinia, 181 for Monolithos, and 152 for Siana.  

final_answer: Agios Isidoros (355), Emponas (1,242), Kritinia (503), Monolithos (181), Siana (152).","Attavyros includes the communities of Ágios Isídoros of population 355, Emponas of 1242, Kritinia of 454, Monolithos of 181, and Siana of 152.","Agios Isidoros (355), Emponas (1,242), Kritinia (503), Monolithos (181), Siana (152) 
","attavyros includes the counities of ágios isídoros of population 355, emponas of 1242, kritinia of 454, monolithos of 181, and siana of 152","agios isidoros (355), emponas (1,242), kritinia (503), monolithos (181), siana (152)",48.48484848484849,0.0
958,958,Who did Sócrates play for in 1984-85?,"Decompose to subquestions- 

sq1. What club did Sócrates play for in the 1984-85 season? (independent)

answers: |
  Answer to sq1: Sócrates played for Fiorentina in the 1984-85 season.

final_answer: Fiorentina.","In 1984–85, Sócrates played in Italian Serie A with Fiorentina.","Fiorentina 
","in 1984-85, sócrates played in italian serie a with fiorentina",fiorentina,20.0,0.0
959,959,"In 1980, Gary Holton appeared in which film and which show as Keith?","Decompose to subquestions-  
sq1. What film did Gary Holton appear in as Keith in 1980? (independent)  
sq2. What show did Gary Holton appear in as Keith in 1980? (independent)  

answers:  
Answer to sq1: Gary Holton appeared in ""Play for Today"" as Keith in 1980.  
Answer to sq2: There is no record of Gary Holton appearing in a show as Keith in 1980.  

final_answer: In 1980, Gary Holton appeared in ""Play for Today"" as Keith; no show record for Keith.","In 1980, Holton appeared in the film Breaking Glass and as Keith in an episode of Play for Today.","""Play for Today"" 
","in 1980, holton appeared in the film breaking glass and as keith in an episode of play for today",play for today,30.0,0.0
960,960,In what films did Aadarsh appear in 2008 and 2009 and who were the directors?,"Decompose to subquestions-  
sq1. What films did Aadarsh appear in 2008? (independent)  
sq2. Who were the directors of the films from 2008? (depends on sq1)  
sq3. What films did Aadarsh appear in 2009? (independent)  
sq4. Who were the directors of the films from 2009? (depends on sq3)  
sq5. Combine the films and directors from 2008 and 2009 into a final answer. (depends on sq2, sq4)  

answers:  
Answer to sq1: In 2008, Aadarsh appeared in:  
- Vinayakudu  
- Evaraina Epudaina  
Answer to sq2: The directors of the films from 2008 are:  
- Sai Kiran Adivi for Vinayakudu  
- Marthand K Shankar for Evaraina Epudaina  
Answer to sq3: In 2009, Aadarsh appeared in:  
- Ride  
- Evaraina Epudaina  
Answer to sq4: The directors of the films from 2009 are:  
- Ramesh Varma for Ride  
- Marthand K Shankar for Evaraina Epudaina  
Answer to sq5: In 2008, Aadarsh appeared in Vinayakudu (Sai Kiran Adivi) and Evaraina Epudaina (Marthand K Shankar); in 2009, he appeared in Ride (Ramesh Varma) and Evaraina Epudaina (Marthand K Shankar).  

final_answer: In 2008, Aadarsh appeared in Vinayakudu (Sai Kiran Adivi) and Evaraina Epudaina (Marthand K Shankar); in 2009, he appeared in Ride (Ramesh Varma) and Evaraina Epudaina (Marthand K Shankar).","Aadarsh Balakrishna was seen in Vinayakudu (2008) directed by Sai Kiran Avidi, Ride (2009) directed by Ramesh Varm, and Evaraina Epudaina (2009) directed by Marthand Shankar.","Vinayakudu (Sai Kiran Adivi), Evaraina Epudaina (Marthand K Shankar), Ride (Ramesh Varma), Evaraina Epudaina (Marthand K Shankar) 
","aadarsh balakrishna was seen in vinayakudu (2008) directed by sai kiran avidi, ride (2009) directed by ramesh varm, and evaraina epudaina (2009) directed by marthand shankar","vinayakudu (sai kiran adivi), evaraina epudaina (marthand k shankar), ride (ramesh varma), evaraina epudaina (marthand k shankar)",41.860465116279066,0.0
961,961,What shows did Sade star in from 2007-2014?,"Decompose to subquestions-  
sq1. What shows did Sade star in during 2007? (independent)  
sq2. What shows did Sade star in during 2008? (independent)  
sq3. What shows did Sade star in during 2009? (independent)  
sq4. What shows did Sade star in during 2010? (independent)  
sq5. What shows did Sade star in during 2011? (independent)  
sq6. What shows did Sade star in during 2012? (independent)  
sq7. What shows did Sade star in during 2013? (independent)  
sq8. What shows did Sade star in during 2014? (independent)  
 
answers:  
Answer to sq1: CSI: Miami, CSI: NY.  
Answer to sq2: 90210, The Strip.  
Answer to sq3: None (no shows listed).  
Answer to sq4: The Mentalist.  
Answer to sq5: None (no shows listed).  
Answer to sq6: Body of Proof.  
Answer to sq7: None (no shows listed).  
Answer to sq8: Sons of Anarchy, Matador.  

final_answer: CSI: Miami, CSI: NY, 90210, The Strip, The Mentalist, Body of Proof, Sons of Anarchy, Matador.","Sade starred in CSI: Miami (2007), Sons of Anarchy (2014), The Mentalist (2010), Body of Proof (2012), 90210 (2008), and CSI: NY (2007), and Matador, The Strip (2008).","['CSI: Miami', 'CSI: NY', '90210', 'The Strip', 'The Mentalist', 'Body of Proof', 'Sons of Anarchy', 'Matador'] 
",sade starred in csi: miami,"['csi: miami', 'csi: ny', '90210', 'the strip', 'the mentalist', 'body of proof', 'sons of anarchy', 'matador']",21.052631578947363,0.0
962,962,What role did Keerthy Suresh play in 2 movies of different languages in 2018?,"Decompose to subquestions- 
- sq1. What movies did Keerthy Suresh act in during 2018? (independent)
- sq2. What roles did Keerthy Suresh play in these movies? (depends on sq1)
- sq3. Identify the languages of these movies. (depends on sq1)

Answers: 
- Answer to sq1: The movies are Agnyaathavaasi, Mahanati, Nadigaiyar Thilagam, Thaanaa Serndha Koottam, Seema Raja, Saamy Square, Sandakozhi 2, and Sarkar.
- Answer to sq2: The roles are Sukumari (Agnyaathavaasi), Savitri (Mahanati), Savitri (Nadigaiyar Thilagam), Madhu (Thaanaa Serndha Koottam), Bhoomi (Seema Raja), Diya (Saamy Square), Sembaruthi (Sandakozhi 2), and Nila (Sarkar).
- Answer to sq3: The languages are Telugu (Agnyaathavaasi, Nanu Local, Mahanati, and Seema Raja), Tamil (Mahanati, Nadigaiyar Thilagam, Thaanaa Serndha Koottam, Saamy Square, Sandakozhi 2, and Sarkar), and Malayalam (for other films).

Final Answer: In 2018, Keerthy Suresh played the roles of Sukumari in Agnyaathavaasi (Telugu) and Savitri in Mahanati (Telugu).",Keerthy Suresh portrayed Savitri in the Telugu film Mahanati and the Tamil film Nadigaiyar Thilagam in 2018.,"Sukumari, Savitri 
",keerthy suresh portrayed savitri in the telugu film mahanati and the tamil film nadigaiyar thilagam in 2018,"sukumari, savitri",11.76470588235294,0.0
963,963,What are the awards that Selena Gomez and the Scene have won from 2012?,"Decompose to subquestions-  
- sq1. Identify the rows that contain information about the awards won by Selena Gomez & the Scene in 2012. (independent)  
- sq2. Extract the award details from the relevant rows identified in sq1. (depends on sq1)  
- sq3. Combine the extracted awards into a final answer. (depends on sq2)  

answers:  
Answer to sq1: The relevant rows are:  
- 2012 | Vevo Certified Awards | Vevo Certified 100 Million Views | ""Naturally"" | Won  
- 2012 | Vevo Certified Awards | Vevo Certified 100 Million Views | ""A Year Without Rain"" | Won  
- 2012 | Vevo Certified Awards | Vevo Certified 100 Million Views | ""Who Says"" | Won  
- 2012 | Vevo Certified Awards | Vevo Certified 100 Million Views | ""Love You like a Love Song"" | Won  
- 2012 | Teen Choice Awards | Choice Music: Group | Selena Gomez & the Scene | Won  

Answer to sq2: The awards are:  
- Vevo Certified 100 Million Views for ""Naturally""  
- Vevo Certified 100 Million Views for ""A Year Without Rain""  
- Vevo Certified 100 Million Views for ""Who Says""  
- Vevo Certified 100 Million Views for ""Love You like a Love Song""  
- Choice Music: Group at the Teen Choice Awards  

Answer to sq3: Selena Gomez & the Scene won five awards in 2012.  

final_answer: Vevo Certified 100 Million Views for ""Naturally"", Vevo Certified 100 Million Views for ""A Year Without Rain"", Vevo Certified 100 Million Views for ""Who Says"", Vevo Certified 100 Million Views for ""Love You like a Love Song"", Choice Music: Group at the Teen Choice Awards.","The Selena Gomez & The Scene won Choice Music: Group and Choice Music: Love Song for, Love You like a Love Song at the Teen Choice Awards.","Vevo Certified 100 Million Views for ""Naturally"", Vevo Certified 100 Million Views for ""A Year Without Rain"", Vevo Certified 100 Million Views for ""Who Says"", Vevo Certified 100 Million Views for ""Love You like a Love Song"", Choice Music: Group at the Teen Choice Awards. 
","the selena gomez & the scene won choice music: group and choice music: love song for, love you like a love song at the teen choice awards","vevo certified 100 views for naturally, vevo certified 100 views for a year without rain, vevo certified 100 views for who says, vevo certified 100 views for love you like a love song, choice music: group at the teen choice awards",43.333333333333336,0.0
964,964,What tv shows was Katerina Shpitsa known in 2009 and 2011?,"Decompose to subquestions-  
sq1. What TV show did Katerina Shpitsa appear in during 2009? (independent)  
sq2. What TV shows did Katerina Shpitsa appear in during 2011? (independent)  

Answers:  
Answer to sq1: Katya: Military Story.  
Answer to sq2: Laughter in Dark and Brothel Lights.  

Final answer: Katya: Military Story (2009), Laughter in Dark and Brothel Lights (2011).  ",Katerina Shpitsa is known for Katya: Military Story (TV series 2009) and Brothel Lights (2011).,"'Katya: Military Story', 'Laughter in Dark', 'Brothel Lights' 
",katerina shpitsa is known for katya: military story,"katya: military story', 'laughter in dark', 'brothel lights",37.5,0.0
965,965,How did Dan Robinson perform in 2007?,"Decompose to subquestions-  
sq1. What were the events Dan Robinson participated in during 2007? (independent)  
sq2. What were Dan Robinson's positions in those events in 2007? (depends on sq1)  
sq3. What were the times Dan Robinson achieved in those events in 2007? (depends on sq1)  

answers:  
Answer to sq1: Dan Robinson participated in the London Marathon and World Championships in 2007.  
Answer to sq2: He finished 9th in the London Marathon and 11th in the World Championships.  
Answer to sq3: His times were 2:14:14 in the London Marathon and 2:20:30 in the World Championships.  

final_answer: In 2007, Dan Robinson finished 9th in the London Marathon (2:14:14) and 11th in the World Championships (2:20:30).",In 2007 Dan Robinson was within the top ten at the London Marathon and was eleventh in the 2007 World Championship Marathon.,"9th in the London Marathon (2:14:14) and 11th in the World Championships (2:20:30) 
",in 2007 dan robinson was within the top 10 at the london marathon and was eleventh in the 2007 world championship marathon,9 in the london marathon (2:14:14) and 11 in the world championships (2:20:30),40.0,0.0
966,966,How many international goals did Telmo Zerra score and when did he score his last goal?,"Decompose to subquestions-  
sq1. How many international goals did Telmo Zarra score? (independent)  
sq2. When did Telmo Zarra score his last international goal? (independent)  

Answers:  
Answer to sq1: 20.  
Answer to sq2: 10 June 1951.  

Final answer: 20 international goals, last goal on 10 June 1951.","Telmo Zarra scored 20 goals, and scored his last 2 on June 10th, 1951 against Belgium in a 3-3 draw.","20, 10 June 1951 
","telmo zarra scored 20 goals, and scored his last 2 on june 10, 1951 against belgium in a 3-3 draw","20, 10 june 1951",34.78260869565217,0.0
