,Unnamed: 0,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
785,785,785,Where and when did the the 1963 Giro d'Italia start and finish?,"evidence: |
  The relevant rows contain information about the starting and finishing points of the 1963 Giro d'Italia:
  Stage | Date | Course | Distance | Type | Winner
  1 | 19 May | Naples to Potenza | 182 km (113 mi) | - | Vittorio Adorni (ITA)
  21 | 9 June | Brescia to Milan | 136 km (85 mi) | - | Antonio Bailetti (ITA)
answer: |
  The 1963 Giro d'Italia started in Naples on 19 May and finished in Milan on 9 June.","The Giro started in Naples, on 19 May, with a 182 km (113.1 mi) stage and concluded in Milan, on 9 June, with a 136 km (84.5 mi).","Naples, Milan 
","the giro started in naples, on 19 may, with a 182 km","naples, milan",16.666666666666668,0.0
786,786,786,"Who tied on  1,405 votes each in 2018 Sutton London Borough Council election?","evidence: |
  The relevant rows contain information about the candidates with the same number of votes:
  Party | Candidate | Votes | % | ±
  - | Liberal Democrat | Samantha Bourne* | 1,405 | 38.2 | 4.8
  - | Conservative | James McDermott-Hill | 1,405 | 38.2 | +8.0
answer: |
  In the 2018 Sutton London Borough Council election, Samantha Bourne from the Liberal Democrat party and James McDermott-Hill from the Conservative party both tied with 1,405 votes.","James McDermott-Hill (Conservative) and Samantha Bourne (Lib Dems) were tied on 1,405 votes each.","Samantha Bourne, James McDermott-Hill 
","james mcdermott-hill (conservative) and samantha bourne (lib dems) were tied on 1,405 votes each","samantha bourne, james mcdermott-hill",44.44444444444445,0.0
787,787,787,What awards did Tyler Hoechlin win for Teen Wolf?,"evidence: |
  The relevant rows contain information about Tyler Hoechlin's wins for Teen Wolf:
  Year | Award | Category | Work | Result
  2013 | Young Hollywood Awards | Best Ensemble (shared with Holland Roden, Crystal Reed, Dylan O'Brien and Tyler Posey) | Teen Wolf | Won
  2014 | Teen Choice Awards | Choice TV: Male Scene Stealer | Teen Wolf | Won
answer: |
  Tyler Hoechlin won the Young Hollywood Awards for Best Ensemble in 2013 and the Teen Choice Awards for Choice TV: Male Scene Stealer in 2014 for his work in Teen Wolf.",Teen Wolf won the Best Ensemble award at the 2013 Young Hollywood Awards and won the 2014 Teen Choice Award for Choice TV Male Scene Stealer.,"Young Hollywood Awards, Teen Choice Awards 
",teen wolf won the best ensemble award at the 2013 young hollywood awards and won the 2014 teen choice award for choice tv male scene stealer,"young hollywood awards, teen choice awards",34.48275862068966,0.0
788,788,788,What was the release history of Alaina in 2017?,"evidence: |
  The relevant row contains information about Lauren Alaina's release in 2017:
  Year | Single | Peak chart positions | Album
  2017 | ""Doin' Fine"" | 34 | Road Less Traveled
answer: |
  In 2017, Lauren Alaina released the single ""Doin' Fine,"" which peaked at position 34 on the charts from the album Road Less Traveled.","Alaina's third single from Road Less Traveled, ""Doin' Fine"", was released in 2017.","""Doin' Fine"" 
","alaina's third single from road less traveled, doin' fine, was released in 2017",doin' fine,26.66666666666667,0.0
789,789,789,"How many goals and appearances did Danis Salman have with Millwall, and when did he leave the club?","evidence: |
    The relevant rows contain information about Danis Salman's career with Millwall:
    Club | Season | Division | Apps | Goals
    Millwall | Total | Total | 93 | 3
    Millwall | 1986–87 | Second Division | 31 | 2
    Millwall | 1987–88 | Second Division | 36 | 1
    Millwall | 1988–89 | First Division | 19 | 0
    Millwall | 1989–90 | First Division | 7 | 0
answer: |
    Danis Salman had a total of 93 appearances and 3 goals with Millwall. He left the club after the 1989-90 season.","Danis Salman's appearances tailed off in the First Division and he departed in 1990, having made 112 appearances and scored five goals with Millwall across both divisions.","93 appearances, 3 goals, 1989-90 season 
","danis salman's appearances tailed off in the first division and he departed in 1990, having made 112 appearances and scored 5 goals with millwall across both divisions","93 appearances, 3 goals, 1989-90 season",12.5,0.0
790,790,790,Which athletes are ranked fourth and fifth in Swimming at the 2016 Summer Olympics – Men's 50 metre freestyle and what time did they get?,"evidence: |
  The relevant rows contain information about the ranks of the athletes in the Men's 50 metre freestyle:
  Rank | Lane | Name | Nationality | Time | Notes
  4 | 2 | Florent Manaudou | France | 21.41 | -
  5 | 5 | Andriy Hovorov | Ukraine | 21.74 | -
answer: |
  The athletes ranked fourth and fifth in the Men's 50 metre freestyle at the 2016 Summer Olympics are Florent Manaudou, who recorded a time of 21.41, and Andriy Hovorov, who had a time of 21.74.","Great Britain's Benjamin Proud finished off the podium with a fourth-place time in 21.68, while Ukraine's Andriy Hovorov took fifth with 21.74.","Florent Manaudou, 21.41, Andriy Hovorov, 21.74 
","great britain's benjamin proud finished off the podium with a 4-place time in 21.68, while ukraine's andriy hovorov took fifth with 21.74","florent manaudou, 21.41, andriy hovorov, 21.74",23.076923076923077,0.0
791,791,791,How did Sergey Gavryushin perform at the 1982 European Championships and the 1987 World Championships?,"evidence: |
  The relevant rows contain information about Sergey Gavryushin's performance in 1982 and 1987:
  Year | Competition | Venue | Position | Notes
  1982 | European Championships | Athens, Greece | 8th | 20.15 m
  1987 | World Championships | Rome, Italy | 8th | 20.15 m
answer: |
  In 1982, Sergey Gavryushin placed 8th at the European Championships, and in 1987, he also placed 8th at the World Championships.","Sergey Gavryushin had identical results at the 1982 European Championships and 1987 World Championships, coming eighth with 20.15 m.","8th place 
","sergey gavryushin had identical results at the 1982 european championships and 1987 world championships, coming 8h with 20.15 m",8 place,0.0,0.0
792,792,792,What was the album released by Yuri  in 2018 and what was the main single from it?,"evidence: |
  The relevant row contains information about Kwon Yu-ri's releases in 2018:
  Title | Year | Peak position | Sales | Album
  \""Into You\"" | 2018 | — | 22 | The First Scene
answer: |
  In 2018, Kwon Yu-ri released the album ""The First Scene,"" and the main single from it was ""Into You.""","Yuri released The First Scene in 2018 with the single ""Into You"".","""The First Scene"", ""Into You"" 
",yuri released the first scene in 2018 with the single into you,"the first scene, into you",57.14285714285715,0.0
793,793,793,What were the seat results for the 1966 Mongolian legislative elections? ,"evidence: |
  The relevant row contains information about the seat results in the 1966 Mongolian legislative elections:
  Party | Votes | % | Seats | +/–
  Mongolian People's Revolutionary Party | - | - | 234 | +18
  Non-party candidates | - | - | 53 | –1
  Total | 558,463 | 100 | 287 | +17
answer: |
  In the 1966 Mongolian legislative elections, the Mongolian People's Revolutionary Party won 234 seats (an increase of 18), non-party candidates secured 53 seats (a decrease of 1), and the total number of seats was 287 (an increase of 17).","The MPRP won 234 of the 287 seats, with the remaining 53 seats going to non-party candidates.","234, 53, 287 
","the mprp won 234 of the 287 seats, with the remaining 53 seats going to non-party candidates","234, 53, 287",35.294117647058826,0.0
794,794,794,What was the percentage between the presidential candidates in Nevada in 2016?,"evidence: |
  The relevant rows contain information about the votes and percentages for the presidential candidates in Nevada in 2016:
  Party | Candidate | Votes | %
  Democratic | Hillary Clinton | 539,260 | 47.92%
  Republican | Donald Trump | 512,058 | 45.50%
answer: |
  The percentage between the presidential candidates in Nevada in 2016 was 2.42%, with Hillary Clinton receiving 47.92% and Donald Trump receiving 45.50%.","The 2016 United States Presidential Election in Nevada was won by Hillary Clinton, who received 47.92% of the vote compared to Donald Trump's 45.50%.","2.42% 
","the 2016 united states presidential election in nevada was won by hillary clinton, who received 47.92% of the vote compared to donald trump's 45.50",2.42%,0.0,0.0
795,795,795,What awards was The Darjeeling Limited nominated for or win?,"evidence: |
  The relevant rows contain information about the awards for The Darjeeling Limited:
  Year | Award | Category | Nominee | Result
  2008 | Movies for Grownups Award | Best Comedy | The Darjeeling Limited | Won
  2008 | Bodil | Best American Film (Bedste amerikanske film) | Wes Anderson | Nominated
  2007 | NYFCO Award | Top Films of the Year | The Darjeeling Limited | Won
answer: |
  The Darjeeling Limited won the Movies for Grownups Award for Best Comedy in 2008, was nominated for the Bodil for Best American Film in the same year, and won the NYFCO Award for Top Films of the Year in 2007.",The Darjeeling Limited won the Best Comedy at the Movies for Grownups Awards in 2008 and the Top Films of the Year at the NYFCO Awards in 2007 and also received nominations for the Grand Prix Asturias for Best Feature and the Bodil for Best American Film.,"Movies for Grownups Award, Bodil, NYFCO Award 
",the darjeeling limited won the best comedy at the movies for grownups awards in 2008 and the top films of the year at the nyfco awards in 2007 and also received nominations for the grand prix asturias for best feature and the bodil for best american film,"movies for grownups award, bodil, nyfco award",21.73913043478261,0.0
796,796,796,"How did ""Don't Phunk with My Heart"" from Will.i.am performed during its released in 2006? ","evidence: |
  The relevant rows contain information about the performance of ""Don't Phunk with My Heart"" in 2006:
  Year | Nominee / work | Award | Result
  2006 | ""Don't Phunk with My Heart"" | Best Rap Song | Nominated
  2006 | ""Don't Phunk with My Heart"" | Best Rap Performance by a Duo or Group | Won
answer: |
  In 2006, ""Don't Phunk with My Heart"" was nominated for Best Rap Song and won Best Rap Performance by a Duo or Group.","In 2006, Will.i.am won the Grammy Award for Best Rap Performance by a Duo or Group for ""Don't Phunk with My Heart"".","Nominated for Best Rap Song, Won Best Rap Performance by a Duo or Group 
","in 2006, will.i.am won the gray award for best rap performance by a duo or group for don't phunk with my heart","nominated for best rap song, won best rap performance by a duo or group",54.545454545454554,0.0
797,797,797,In what events did Takashi Nagao compete in at the 1981 World Cup?,"evidence: |
  The relevant rows contain information about Takashi Nagao's events at the 1981 World Cup:
  Year | Competition | Venue | Position | Event | Notes
  1981 | World Cup | Rome, Italy | 8th | 400 m hurdles | 51.95
  1981 | World Cup | Rome, Italy | 9th | 4 × 400 m relay | 3:09.93
answer: |
  Takashi Nagao competed in the 400 m hurdles, finishing 8th, and in the 4 × 400 m relay, finishing 9th at the 1981 World Cup.",Takashi Nagao played the 400 m hurdles and the 4 × 400 m at the 1981 World Cup.,"400 m hurdles, 4 × 400 m relay 
",takashi nagao played the 400 m hurdles and the 4 × 400 m at the 1981 world cup,"400 m hurdles, 4 × 400 m relay",60.8695652173913,0.0
798,798,798,What was Natalia Semenova's personal best record and where did she achieve it?,"evidence: |
  The relevant row contains information about Natalia Semenova's personal best record:
  Year | Competition | Venue | Position | Notes
  2003 | Universiade | Daegu, South Korea | 1st | 63.11 m (PB)
answer: |
  Natalia Semenova achieved her personal best record of 63.11 m at the 2003 Universiade in Daegu, South Korea.",Natalia Semenova's personal best throw is 63.11 metres which was achieved at the 2003 Universiade in Daegu.,"63.11 m, Daegu, South Korea 
",natalia semenova's personal best throw is 63.11 metres which was achieved at the 2003 universiade in daegu,"63.11 m, daegu, south korea",19.047619047619047,0.0
799,799,799,"What were Petrovic's club, league, and number of league appearances in 1998-99?","evidence: |
  The relevant row contains information about Petrovic's performances in the 1998-99 season:
  Season | Club | League | Apps | Goals
  1998–99 | VfL Bochum | Bundesliga | 7 | 0
answer: |
  In 1998-99, Petrovic played for VfL Bochum in the Bundesliga, making 7 league appearances.",Alen Petrović appeared in seven games for VfL Bochum in the 1998–99 Bundesliga season in Germany.,"VfL Bochum, Bundesliga, 7 
",alen petrović appeared in 7 games for vfl bochum in the 1998-99 bundesliga season in germany,"vfl bochum, bundesliga, 7",42.10526315789474,0.0
800,800,800,"How many nominations did Flower Drum Song have in the 1958 Tony Award, and did any of the nominees win and if so who and which award?","evidence: |
  The relevant rows contain information about the nominations and wins for Flower Drum Song at the 1958 Tony Awards:
  Year | Award | Category | Nominee | Result
  1958 | Tony Award | Best Musical | Best Musical | Nominated
  1958 | Tony Award | Best Performance by a Leading Actor in a Musical | Larry Blyden | Nominated
  1958 | Tony Award | Best Performance by a Leading Actress in a Musical | Miyoshi Umeki | Nominated
  1958 | Tony Award | Best Choreography | Carol Haney | Nominated
  1958 | Tony Award | Best Conductor and Musical Director | Salvatore Dell'Isola | Won
  1958 | Tony Award | Best Costume Design | Irene Sharif | Nominated
answer: |
  Flower Drum Song had a total of 5 nominations in the 1958 Tony Awards. The only nominee that won is Salvatore Dell'Isola, who won the Tony Award for Best Conductor and Musical Director.","The Flower Drum Song received six Tony Award nominations, but won only one for the Best Conductor and Musical Director, for Salvatore Dell'Isola.","5, Salvatore Dell'Isola, Best Conductor and Musical Director 
","the flower drum song received 6 tony award nominations, but won only 1 for the best conductor and musical director, for salvatore dell'isola","5, salvatore dell'isola, best conductor and musical director",48.275862068965516,0.0
801,801,801,How long did Jonathan Lippman serve as the Chief Judge?,"evidence: |
  The relevant row contains information about Jonathan Lippman's tenure as Chief Judge:
  Name | Took office | Left office
  Jonathan Lippman | February 11, 2009 | December 31, 2015
answer: |
  Jonathan Lippman served as the Chief Judge from February 11, 2009, to December 31, 2015, totaling approximately 6 years and 10 months.",Jonathan Lippman served 6 years as Chief Judge of the New York Court of Appeals from 2009 through 2015.,"6 years and 10 months 
",jonathan lippman served 6 years as chief judge of the new york court of appeals from 2009 through 2015,6 years and 10 months,17.39130434782609,0.0
802,802,802,Did Alice Aprot Nawowuna compete in the 5000 m event after 2010?,"evidence: |
  The relevant rows contain information about Alice Aprot Nawowuna's competitions in the 5000 m event after 2010:
  Year | Competition | Venue | Position | Event | Notes
  2015 | African Games | Brazzaville, Republic of Congo | 3rd | 5000 m | 15:31.82
answer: |
  Yes, Alice Aprot Nawowuna competed in the 5000 m event after 2010, specifically in 2015 at the African Games where she placed 3rd.","After competing in the 5000 m event in 2010 at the World Junior Championships, Alice Aprot Nawowuna competed in the 5000 m event at the 2015 African Games.","Yes 
","after competing in the 5000 m event in 2010 at the world junior championships, alice aprot nawowuna competed in the 5000 m event at the 2015 african games",yes,0.0,0.0
803,803,803,"How many total appearances and goals did Paulo Sousa rack up in Primeira Liga, and for what clubs in the league did he play?","evidence: |
  The relevant rows contains information about Paulo Sousa's performances in the Primeira Liga:
  Club performance | League | Apps | Goals
  Benfica | Primeira Liga | 2 | 0
  Benfica | Primeira Liga | 36 | 0
  Benfica | Primeira Liga | 23 | 1
  Benfica | Primeira Liga | 25 | 0
  Sporting | Primeira Liga | 31 | 2
  
  Total appearances and goals in Primeira Liga:
  Total Apps: 2 + 36 + 23 + 25 + 31 = 117
  Total Goals: 0 + 0 + 1 + 0 + 2 = 3
answer: |
  Paulo Sousa made a total of 117 appearances and scored 3 goals in the Primeira Liga, playing for Benfica and Sporting.","Paulo Sousa played for Benfica and Sporting in Primeira Liga, and amassed totals of 117 matches and 3 goals in 5 years.","117 appearances, 3 goals, Benfica, Sporting 
","paulo sousa played for benfica and sporting in primeira liga, and amassed totals of 117 matches and 3 goals in 5 years","117 appearances, 3 goals, benfica, sporting",35.714285714285715,0.0
804,804,804,What season did Coreau fail to earn a win in five appearances of the American Hockey League (AHL) with the Grand Rapids Griffins and won just once with the Toledo Walleye of the ECHL ?,"evidence: |
    The relevant rows contain information about Jared Coreau's performance in the AHL and ECHL during the seasons mentioned:
    Season | Team | League | GP | W | L | OT | MIN | GA | SO | GAA | SV%
    2013–14 | Grand Rapids Griffins | AHL | 5 | 0 | 4 | 0 | 205 | 15 | 0 | 4.39 | .873
    2013–14 | Toledo Walleye | ECHL | 20 | 1 | 12 | 6 | 1,146 | 77 | 0 | 4.03 | .879
    
answer: |
    In the 2013–14 season, Coreau failed to earn a win in five appearances with the Grand Rapids Griffins in the AHL and won just once with the Toledo Walleye in the ECHL.","During the 2013–14 season, Coreau had failed to earn a win in five appearances of the American Hockey League (AHL) with the Grand Rapids Griffins and won just once with the Toledo Walleye of the ECHL.","2013–14 
","during the 2013-14 season, coreau had failed to earn a win in 5 appearances of the american hockey league (ahl) with the grand rapids griffins and won just once with the toledo walleye of the echl",2013-2014,0.0,0.0
805,805,805,What was the route of the race 1931 Giro d'Italia?,"evidence: |
  The relevant rows provide information about the route for each stage of the 1931 Giro d'Italia:
  - Stage 1: Milan to Mantua
  - Stage 2: Mantua to Ravenna
  - Stage 3: Ravenna to Macerata
  - Stage 4: Macerata to Pescara
  - Stage 5: Pescara to Naples
  - Stage 6: Naples to Rome
  - Stage 7: Rome to Perugia
  - Stage 8: Perugia to Montecatini Terme
  - Stage 9: Montecatini Terme to Genoa
  - Stage 10: Genoa to Cuneo
  - Stage 11: Cuneo to Turin
  - Stage 12: Turin to Milan
answer: |
  The route of the 1931 Giro d'Italia included stages from Milan to Mantua, Mantua to Ravenna, Ravenna to Macerata, Macerata to Pescara, Pescara to Naples, Naples to Rome, Rome to Perugia, Perugia to Montecatini Terme, Montecatini Terme to Genoa, Genoa to Cuneo, Cuneo to Turin, and final stage from Turin to Milan.","The race began on May10 in Milan, with a stage that stretched 206 km (128 mi) to Mantua, finishing back in Milan on May 31, after a 263 km (163 mi) stage and a total distance covered of 3,012 km (1,872 mi).","Milan to Mantua, Mantua to Ravenna, Ravenna to Macerata, Macerata to Pescara, Pescara to Naples, Naples to Rome, Rome to Perugia, Perugia to Montecatini Terme, Montecatini Terme to Genoa, Genoa to Cuneo, Cuneo to Turin, Turin to Milan 
","the race began on may10 in milan, with a stage that stretched 206 km","milan to mantua, mantua to ravenna, ravenna to macerata, macerata to pescara, pescara to naples, naples to rome, rome to perugia, perugia to montecatini terme, montecatini terme to genoa, genoa to cuneo, cuneo to turin, turin to milan",4.0,0.0
806,806,806,Who won the Deganaga seat in 1951 and 1957?,"evidence: |
  The relevant rows contain information about the winners of the Deganga seat in 1951 and 1957:
  Election Year | Constituency | Name of M.L.A. | Party Affiliation
  1951 | Deganga | Rafiuddin Ahmed | Indian National Congress
  1957 | - | Rafiuddin Ahmed | Indian National Congress
answer: |
  Rafiuddin Ahmed won the Deganga seat in both 1951 and 1957, representing the Indian National Congress.","Rafiuddin Ahmed and Atul Krishna Roy, both of Congress, won the Deganaga seat in 1957 and in 1951, Rafiuddin Ahmed won the seat.","Rafiuddin Ahmed 
","rafiuddin ahmed and atul krishna roy, both of congress, won the deganaga seat in 1957 and in 1951, rafiuddin ahmed won the seat",rafiuddin ahmed,17.391304347826082,0.0
807,807,807,What was Dave Kemp's career like in 1982?,"evidence: |
  The relevant rows contain information about Dave Kemp's career in 1982:
  Club | Season | Division | Apps | Goals | 
  Edmonton Drillers | 1982 | NASL | 16 | 7 |
  Seattle Sounders | 1983 | NASL | 20 | 9 |
answer: |
  In 1982, Dave Kemp played for the Edmonton Drillers in the NASL, making 16 appearances and scoring 7 goals.",Dave Kemp had loan spells with Gillingham and Brentford before joining the NASL side Edmonton Drillers in 1982.,"Edmonton Drillers, NASL, 16 appearances, 7 goals 
",dave kemp had loan spells with gillingham and brentford before joining the nasl side edmonton drillers in 1982,"edmonton drillers, nasl, 16 appearances, 7 goals",25.0,0.0
808,808,808,What did Viceconte achieve in the 1998 European Championships?,"evidence: |
  The relevant row contains information about Maura Viceconte's achievement in the 1998 European Championships:
  Year | Competition | Venue | Position | Event | Notes
  1998 | European Championships | Budapest, Hungary | 3rd | Marathon | 2:28:31
answer: |
  In the 1998 European Championships, Maura Viceconte achieved 3rd place in the Marathon.","Viceconte won the bronze medal at the 1998 European Championships in Budapest, Hungary.","3rd place in the Marathon 
","viceconte won the bronze medal at the 1998 european championships in budapest, hungary",3 place in the marathon,13.333333333333334,0.0
809,809,809,What were Wendy Smith-Sly’s personal records in the 1983 World Championships?,"evidence: |
  The relevant rows contain information about Wendy Smith-Sly's performance in the 1983 World Championships:
  Year | Competition | Venue | Position | Event | Notes
  1983 | World Championships | Helsinki, Finland | 5th | 1500 m | 4:04.14
  1983 | World Championships | Helsinki, Finland | 5th | 3000 m | 8:37.06
answer: |
  In the 1983 World Championships, Wendy Smith-Sly's personal records were 4:04.14 in the 1500 m and 8:37.06 in the 3000 m, both resulting in a 5th place finish.",Wendy Smith-Sly ran 4:04.14 in the 1500 m and 8:37.06 in the 3000 m during the 1983 World Championships.,"4:04.14, 8:37.06 
",wendy smith-sly ran 4:04.14 in the 1500 m and 8:37.06 in the 3000 m during the 1983 world championships,"4:04.14, 8:37.06",22.22222222222222,0.0
810,810,810,Which award category did Shaynna Blaze win back-to-back?,"evidence: |
  The relevant rows contain information about Shaynna Blaze's wins:
  Year | Award | Category | Work | Result
  2013 | ASTRA Award | Favourite Personality – Female | Selling Houses Australia | Won
  2014 | ASTRA Award | Favourite Personality – Female | Selling Houses Australia | Won
answer: |
  Shaynna Blaze won the ASTRA Award for Favourite Personality – Female back-to-back in 2013 and 2014.","In 2013 and 2014, Blaze won the ASTRA Award for Favourite Personality – Female.","Favourite Personality – Female 
","in 2013 and 2014, blaze won the astra award for favourite personality - female",favourite personality - female,40.0,0.0
811,811,811,"Where did Pearl Jam perform between September 11-12, 2011?","evidence: |
  The relevant rows contain information about Pearl Jam's performances on September 11-12, 2011:
  Date | City | Country | Venue
  September 11, 2011 | Toronto | Canada | Air Canada Centre
  September 12, 2011 | Toronto | Canada | Air Canada Centre
answer: |
  Pearl Jam performed at the Air Canada Centre in Toronto, Canada on both September 11 and September 12, 2011.","The Pearl Jam Twenty Tour was held at the Air Canada Centre in Toronto between September 11-12, 2011.","Air Canada Centre, Toronto, Canada 
","the pearl jam twenty tour was held at the air canada centre in toronto between september 11-12, 2011","air canada centre, toronto, canada",38.095238095238095,0.0
812,812,812,What Nintendo games did Angel Studios developed?,"evidence: |
  The relevant rows contain information about Nintendo games developed by Angel Studios:
  Year | Title | Platform(s) | Publisher(s) | Notes
  1998 | Major League Baseball Featuring Ken Griffey Jr. | Nintendo 64 | Nintendo | N/A
  1999 | Ken Griffey Jr.'s Slugfest | Nintendo 64 | Nintendo | N/A
answer: |
  Angel Studios developed Major League Baseball Featuring Ken Griffey Jr. and Ken Griffey Jr.'s Slugfest for the Nintendo 64.","Angel Studios developed their games for Nintendo 64 platform in association with Nintendo for ""Major League Baseball Featuring Ken Griffey Jr."" in 1998 and ""Ken Griffey Jr.'s Slugfest"" in 1999.","Major League Baseball Featuring Ken Griffey Jr., Ken Griffey Jr.'s Slugfest 
",angel studios developed their games for nin10do 64 platform in association with nin10do for major league baseball featuring ken griffey jr. in 1998 and ken griffey jr.'s slugfest in 1999,"major league baseball featuring ken griffey jr., ken griffey jr.'s slugfest",53.658536585365844,0.0
813,813,813,How many Class NG G11 Garratt locomotives did the South African Railways place between 1919 and 1925?,"The relevant rows contain information about Class NG G11 Garratt locomotives used by the South African Railways between 1919 and 1925:

Year | Railway | Class | Works no. | Units | Builder
1919 | South African Railways | NG G11 | 5975-5977 | 3 | Beyer, Peacock
1925 | South African Railways | NG G11 | 6199-6200 | 2 | Beyer, Peacock

Based on this information, the total number of Class NG G11 locomotives placed by South African Railways between 1919 and 1925 is 3 + 2 = 5.

answer: |
  The South African Railways placed 5 Class NG G11 Garratt locomotives between 1919 and 1925.","Between 1919 and 1925, the South African Railways placed five Class NG G11 Garratt locomotives.","5 
","between 1919 and 1925, the south african railways placed 5 class ng g11 garratt locomotives",5,13.333333333333334,0.0
814,814,814,Were any KSW events in 2012 not held in arenas?,"evidence: |
  The relevant rows provide information about the KSW events in 2012 and their corresponding arenas:
  # | Event Title | Date | Arena | Location
  1 | KSW 18: Unfinished Sympathy | February 25, 2012 | Orlen Arena | Poland Płock, Poland
  2 | KSW 19: Pudzianowski vs. Sapp | May 12, 2012 | Arena Łódź | Poland Łódź, Poland
  3 | KSW 20: Fighting Symphonies | September 15, 2012 | Ergo Arena | Poland Gdańsk, Poland
  4 | KSW 21: Ultimate Explanation | December 1, 2012 | Hala Torwar | Poland Warsaw, Poland
answer: |
  No, all KSW events in 2012 were held in arenas.","KSW 21: Ultimate Explanation was held in Hala Torwar in Warsaw, Poland.","No 
","ksw 21: ultimate explanation was held in hala torwar in warsaw, poland",no,0.0,0.0
815,815,815,Which songs and albums did Jackson feature on in 2010?,"evidence: |
  The relevant rows contain information about the songs and albums O'Shea Jackson Jr. featured on in 2010:
  Year | Song | Artist | Album
  2010 | ""She Couldn't Make It On Her Own"" | Ice Cube (feat. OMG & Doughboy) | I Am the West
  2010 | ""Y'all Know How I Am"" | Ice Cube (feat. OMG, Doughboy, WC & Young Maylay) | I Am the West
answer: |
  In 2010, O'Shea Jackson Jr. featured on the songs ""She Couldn't Make It On Her Own"" and ""Y'all Know How I Am,"" both from the album I Am the West.","In 2010, Jackson featured on the songs ""She Couldn't Make It On Her Own"" and ""Y'all Know How I Am"", from the album I Am the West.","""She Couldn't Make It On Her Own"", ""Y'all Know How I Am"", ""I Am the West"" 
","in 2010, jackson featured on the songs she couldn't make it on her own and y'all know how i am, from the album i am the west","she couldn't make it on her own, y'all know how i am, i am the west",76.92307692307693,0.0
816,816,816,"In 2012, in which TV shows did Nadia Sawalha present or co-present?","evidence: |
  The relevant rows contain information about Nadia Sawalha's television roles in 2012:
  Year | Title | Channel | Role | Notes
  2012 | Kitchen SOS | UKTV Home | Presenter | 1 series
  2012 | Saturday Cookbook | ITV | Co-presenter | 1 series; with Mark Sargeant
  2013 | Sunday Scoop | ITV | Co-presenter | 1 series; with Kaye Adams
answer: |
  In 2012, Nadia Sawalha was the presenter of Kitchen SOS and the co-presenter of Saturday Cookbook.","In 2012, Sawalha presented the UKTV Home series Kitchen SOS and co-presented Saturday Cookbook on ITV with Mark Sargeant.","Kitchen SOS, Saturday Cookbook 
","in 2012, sawalha presented the uktv home series kitchen sos and co-presented saturday cookbook on itv with mark sargeant","kitchen sos, saturday cookbook",36.36363636363636,0.0
817,817,817,"When did Monica Twum attend her first Olympic Games, and what was her personal record in the 4 x 100 m relay during that competition?","evidence: |
  The relevant rows contain information about Monica Twum's participation in the Olympic Games:
  Year | Competition | Venue | Position | Event | Notes
  2000 | Olympic Games | Sydney, Australia | 9th (sf) | 4 × 100 m relay | 43.19

answer: |
  Monica Twum attended her first Olympic Games in 2000, where her personal record in the 4 × 100 m relay was 43.19.",Monica Twum achieved the 4 x 100 metres relay in 43.19 at the 2000 Olympics in Sydney.,"2000, 43.19 
",monica twum achieved the 4 x 100 metres relay in 43.19 at the 2000 olympics in sydney,"2000, 43.19",23.52941176470588,0.0
818,818,818,"When did Genie Francis star on ""Murder, She Wrote""?","evidence: |
  The relevant rows contain information about Genie Francis's appearances on ""Murder, She Wrote"":
  Year | Title | Role | Notes
  1984 | Murder, She Wrote | Victoria | Episode: ""Birds of a Feather"" (S 1:Ep 2)
  1986 | Murder, She Wrote | Victoria | Episode: ""Corned Beef and Carnage"" (S 3:Ep 5)
  1990 | Murder, She Wrote | Victoria | Episode: ""The Fixer-Upper"" (S 6:Ep 15)

answer: |
  Genie Francis starred on ""Murder, She Wrote"" in 1984, 1986, and 1990.","Francis starred on Murder, She Wrote as Victoria in 1984, 1986 and 1990.","1984, 1986, 1990 
","francis starred on murder, she wrote as victoria in 1984, 1986 and 1990","1984, 1986, 1990",37.5,0.0
819,819,819,How many defectors and deserters were in 1939?,"evidence: |
      The relevant rows contain information about defectors and deserters in 1939:
      Year | 1939 | 1943 | 1944
      Defectors | 669 | 20 | 40
      Deserters | 669* | 1023 | 1085
answer: |
      In 1939, there were 669 defectors and 669 deserters.",669 is the number of deserters and defectors in 1939.,"669 defectors and 669 deserters 
",669 is the number of deserters and defectors in 1939,669 defectors and 669 deserters,57.14285714285714,0.0
820,820,820,What were Tomoaki Kuno's club affiliations?,"evidence: |
  The relevant rows contain information about Tomoaki Kuno's club affiliations:
  Season | Club
  1996 | Fujitsu Football League
  1997 | Kawasaki Frontale
  1998 | Kawasaki Frontale
  1999 | Kawasaki Frontale
  2000 | Kawasaki Frontale
  2001 | Kawasaki Frontale
  2002 | Kawasaki Frontale
  2003 | Kawasaki Frontale
  2004 | Kawasaki Frontale
  2005 | Kawasaki Frontale
answer: |
  Tomoaki Kuno was affiliated with Fujitsu Football League in 1996 and with Kawasaki Frontale from 1997 to 2005.",Tomoaki Kuno joined Japan Football League club Fujitsu in 1996 and later in Kawasaki Frontale.,"Fujitsu Football League, Kawasaki Frontale 
",tomoaki kuno joined japan football league club fujitsu in 1996 and later in kawasaki frontale,"fujitsu football league, kawasaki frontale",50.0,0.0
